r,l,U,t
6992,700,90,7
6992,1212,52,7
6992,1724,37,7
6992,2236,29,7
6992,2748,23,7
6992,3260,20,7
6992,3772,17,7
6992,4284,15,7
6992,4796,14,7
6992,5308,12,7
6992,5820,11,7
6992,6332,10,7
6992,6844,10,7
6992,7356,9,7
6992,7868,9,7
6992,8380,8,7
6992,8892,8,7
6992,9404,7,7
6992,9916,7,7
6992,10428,7,7
6992,10940,6,7
6992,11452,6,7
6992,11964,6,7
6992,12476,6,7
6992,13500,5,7
6992,14524,5,7
6992,15548,5,7
6992,16572,4,7
6992,17596,4,7
6992,18620,4,8
6992,19644,4,8
6992,20668,4,8
6992,21692,3,8
6992,22716,3,8
6992,23740,3,8
6992,24764,3,8
6992,25788,3,8
6992,26812,3,8
6992,27836,3,8
6992,28860,3,8
6992,29884,3,8
6992,30908,3,8
6992,31932,2,8
6992,32956,2,8
6992,33980,2,8
6992,35004,2,8
6992,36028,2,8
6992,37052,2,8
6992,38076,2,8
6992,39100,2,8
6992,40124,2,8
6992,41148,2,8
6992,42172,2,8
6992,43196,2,8
6992,44220,2,8
6992,45244,2,8
6992,46268,2,8
6992,47292,2,8
6992,48316,2,8
6992,49340,2,8
6992,50364,2,8
6992,51388,2,8
6992,52412,2,8
6992,53436,2,8
6992,54460,2,8
6992,55484,2,8
6992,56508,2,8
6992,57532,2,8
6992,58556,2,8
6992,59580,2,8
6992,60604,2,8
6992,61628,2,8
6992,62652,2,8
6992,63676,1,8
6992,64700,1,8
